;,2028 Energy Code: Residential Systemwide LSC Hourly Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,EThree-Jared Landsman - 6/23/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,06/24/25 - SAC - updated w/ latest 2028 Future ('28 wthr-produced) data w/ Res 30 yr tabs of:  2028_LSC_FutureWeather_v2_20250623.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,06/10/25 - SAC - overwrote prior 2028 table data w/ Res 30 yr tabs of:  2028_TDV_FutureWeather_v1_20250610.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,04/17/25 - SAC - overwrote 2025 table data w/ Res 30 yr tabs of:  2028_TDV_LSC_no climate impact_20250410.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are used to convert predicted site energy use to long-term dollar costs to California's energy system. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are not used for predicting utility bills. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors must be used with a computer program approved for demonstrating compliance with the 2028 Energy Code by the California Energy Commission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,"These hourly factors are formatted to the 2009 calendar year, where January 3rd & 4th are the first weekend of the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors assume a 30-year period of analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; TABLE 2028Res_LSCbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
